system:time_start,Lai
"Jan 1, 2014",10.793
"Jan 5, 2014",11.585
"Jan 9, 2014",10.17
"Jan 13, 2014",9.585
"Jan 17, 2014",10.585
"Jan 21, 2014",9.793
"Jan 25, 2014",8.415
"Jan 29, 2014",7
"Feb 2, 2014",9.793
"Feb 6, 2014",12.585
"Feb 10, 2014",7
"Feb 14, 2014",6.793
"Feb 18, 2014",3.207
"Feb 22, 2014",8.622
"Feb 26, 2014",7.415
"Mar 2, 2014",8.378
"Mar 6, 2014",10.793
"Mar 10, 2014",12
"Mar 14, 2014",6.207
"Mar 18, 2014",9.622
"Mar 22, 2014",10.585
"Mar 26, 2014",9.585
"Mar 30, 2014",7.207
"Apr 3, 2014",1
"Apr 7, 2014",9.378
"Apr 11, 2014",8.585
"Apr 15, 2014",6.207
"Apr 19, 2014",7
"Apr 23, 2014",6.207
"Apr 27, 2014",4
"May 1, 2014",4
"May 5, 2014",3
"May 9, 2014",3
"May 13, 2014",6
"May 17, 2014",6.793
"May 21, 2014",5.793
"May 25, 2014",4.415
"May 29, 2014",3
"Jun 2, 2014",4.585
"Jun 6, 2014",3.207
"Jun 10, 2014",3
"Jun 14, 2014",3
"Jun 18, 2014",3
"Jun 22, 2014",3
"Jun 26, 2014",3
"Jun 30, 2014",3.793
"Jul 4, 2014",2.207
"Jul 8, 2014",3.793
"Jul 12, 2014",1
"Jul 16, 2014",3.415
"Jul 20, 2014",2.207
"Jul 24, 2014",3
"Jul 28, 2014",1
"Aug 1, 2014",2.793
"Aug 5, 2014",3
"Aug 9, 2014",3
"Aug 13, 2014",3
"Aug 17, 2014",3
"Aug 21, 2014",1
"Aug 25, 2014",2.207
"Aug 29, 2014",1
"Sep 2, 2014",1
"Sep 6, 2014",1
"Sep 10, 2014",1.207
"Sep 14, 2014",2
"Sep 18, 2014",2.793
"Sep 22, 2014",2
"Sep 26, 2014",3
"Sep 30, 2014",3
"Oct 4, 2014",1
"Oct 8, 2014",3
"Oct 12, 2014",8.585
"Oct 16, 2014",5
"Oct 20, 2014",5
"Oct 24, 2014",4.585
"Oct 28, 2014",6.585
"Nov 1, 2014",4.207
"Nov 5, 2014",7.585
"Nov 9, 2014",5.415
"Nov 13, 2014",7.415
"Nov 17, 2014",7.415
"Nov 21, 2014",12.17
"Nov 25, 2014",9
"Nov 29, 2014",12.17
"Dec 3, 2014",15
"Dec 7, 2014",12.378
"Dec 11, 2014",10.415
"Dec 15, 2014",12.793
"Dec 19, 2014",12.207
"Dec 23, 2014",12.793
"Dec 27, 2014",12.585
"Dec 31, 2014",9.793
"Jan 1, 2015",9.793
"Jan 5, 2015",14.378
"Jan 9, 2015",14.378
"Jan 13, 2015",10.793
"Jan 17, 2015",12.585
"Jan 21, 2015",13
"Jan 25, 2015",12.585
"Jan 29, 2015",10
"Feb 2, 2015",10
"Feb 6, 2015",11.585
"Feb 10, 2015",11.585
"Feb 14, 2015",10.793
"Feb 18, 2015",10.793
"Feb 22, 2015",11
"Feb 26, 2015",10.207
"Mar 2, 2015",12.378
"Mar 6, 2015",10.793
"Mar 10, 2015",12.378
"Mar 14, 2015",11.793
"Mar 18, 2015",11.585
"Mar 22, 2015",6.83
"Mar 26, 2015",7.793
"Mar 30, 2015",9.378
"Apr 3, 2015",7.793
"Apr 7, 2015",8.793
"Apr 11, 2015",7.793
"Apr 15, 2015",8
"Apr 19, 2015",8.793
"Apr 23, 2015",6.793
"Apr 27, 2015",7.585
"May 1, 2015",8.793
"May 5, 2015",7.585
"May 9, 2015",8
"May 13, 2015",8.378
"May 17, 2015",2.793
"May 21, 2015",7.585
"May 25, 2015",7
"May 29, 2015",7
"Jun 2, 2015",5.622
"Jun 6, 2015",5.378
"Jun 10, 2015",7.793
"Jun 14, 2015",9.378
"Jun 18, 2015",6
"Jun 22, 2015",6
"Jun 26, 2015",1.793
"Jun 30, 2015",7.585
"Jul 4, 2015",6.793
"Jul 8, 2015",6.793
"Jul 12, 2015",4.415
"Jul 16, 2015",6.378
"Jul 20, 2015",5.207
"Jul 24, 2015",3
"Jul 28, 2015",3.793
"Aug 1, 2015",6.585
"Aug 5, 2015",6.585
"Aug 9, 2015",3.793
"Aug 13, 2015",5.585
"Aug 17, 2015",3
"Aug 21, 2015",1.622
"Aug 25, 2015",1
"Aug 29, 2015",5
"Sep 2, 2015",4.793
"Sep 6, 2015",5.207
"Sep 10, 2015",4.415
"Sep 14, 2015",7.585
"Sep 18, 2015",8.585
"Sep 22, 2015",8.585
"Sep 26, 2015",8
"Sep 30, 2015",3.207
"Oct 4, 2015",7
"Oct 8, 2015",7.793
"Oct 12, 2015",4.415
"Oct 16, 2015",7
"Oct 20, 2015",7.622
"Oct 24, 2015",9.207
"Oct 28, 2015",12.17
"Nov 1, 2015",13.17
"Nov 5, 2015",12.585
"Nov 9, 2015",12.415
"Nov 13, 2015",14.415
"Nov 17, 2015",7.622
"Nov 21, 2015",14.793
"Nov 25, 2015",17.963
"Nov 29, 2015",15.793
"Dec 3, 2015",12.415
"Dec 7, 2015",17.585
"Dec 11, 2015",18.17
"Dec 15, 2015",16.378
"Dec 19, 2015",15.378
"Dec 23, 2015",13.793
"Dec 27, 2015",13
"Dec 31, 2015",11
"Jan 1, 2016",11
"Jan 5, 2016",9.585
"Jan 9, 2016",14.378
"Jan 13, 2016",10.207
"Jan 17, 2016",11
"Jan 21, 2016",12.585
"Jan 25, 2016",14.17
"Jan 29, 2016",12.585
"Feb 2, 2016",13.585
"Feb 6, 2016",14.793
"Feb 10, 2016",12.378
"Feb 14, 2016",16.207
"Feb 18, 2016",13.585
"Feb 26, 2016",18.378
"Mar 1, 2016",14.793
"Mar 5, 2016",15.378
"Mar 9, 2016",14.585
"Mar 13, 2016",16
"Mar 17, 2016",10
"Mar 21, 2016",15.585
"Mar 25, 2016",15.585
"Mar 29, 2016",15.378
"Apr 2, 2016",7
"Apr 6, 2016",13.585
"Apr 10, 2016",9.622
"Apr 14, 2016",9.207
"Apr 18, 2016",9.207
"Apr 22, 2016",6.585
"Apr 26, 2016",8
"Apr 30, 2016",8.793
"May 4, 2016",1
"May 8, 2016",2
"May 12, 2016",6.585
"May 16, 2016",9.585
"May 20, 2016",9.793
"May 24, 2016",8.585
"May 28, 2016",7.793
"Jun 1, 2016",6
"Jun 5, 2016",7.793
"Jun 9, 2016",7
"Jun 13, 2016",8.793
"Jun 17, 2016",6.793
"Jun 21, 2016",6.793
"Jun 25, 2016",7.585
"Jun 29, 2016",2.622
"Jul 3, 2016",3.622
"Jul 7, 2016",6
"Jul 11, 2016",4.793
"Jul 15, 2016",4.793
"Jul 19, 2016",4.585
"Jul 23, 2016",4.793
"Jul 27, 2016",3.793
"Jul 31, 2016",4.622
"Aug 4, 2016",6.793
"Aug 8, 2016",6.207
"Aug 12, 2016",5.207
"Aug 16, 2016",5
"Aug 20, 2016",5.207
"Aug 24, 2016",7
"Aug 28, 2016",6.793
"Sep 1, 2016",7
"Sep 5, 2016",3
"Sep 9, 2016",8
"Sep 13, 2016",6.793
"Sep 17, 2016",7.585
"Sep 21, 2016",9.585
"Sep 25, 2016",6
"Sep 29, 2016",6.622
"Oct 3, 2016",6.585
"Oct 7, 2016",6.207
"Oct 11, 2016",5.622
"Oct 15, 2016",6.793
"Oct 19, 2016",9.378
"Oct 23, 2016",6.83
"Oct 27, 2016",11.793
"Oct 31, 2016",7
"Nov 4, 2016",11
"Nov 8, 2016",13.207
"Nov 12, 2016",13.378
"Nov 16, 2016",14.585
"Nov 20, 2016",12.415
"Nov 24, 2016",13.793
"Nov 28, 2016",11.622
"Dec 2, 2016",12.17
"Dec 6, 2016",13.378
"Dec 10, 2016",13.17
"Dec 14, 2016",10.793
"Dec 18, 2016",10.793
"Dec 22, 2016",10.207
"Dec 26, 2016",12.378
"Dec 30, 2016",10
"Jan 1, 2017",9.378
"Jan 5, 2017",13.378
"Jan 9, 2017",11.378
"Jan 13, 2017",13.17
"Jan 17, 2017",12.378
"Jan 21, 2017",13.378
"Jan 25, 2017",13.585
"Jan 29, 2017",11.793
"Feb 2, 2017",12.17
"Feb 6, 2017",10.793
"Feb 10, 2017",10.037
"Feb 14, 2017",11.207
"Feb 18, 2017",13.793
"Feb 22, 2017",13.378
"Feb 26, 2017",15
"Mar 2, 2017",11.244
"Mar 6, 2017",10.415
"Mar 10, 2017",12.622
"Mar 14, 2017",13.585
"Mar 18, 2017",14
"Mar 22, 2017",12.415
"Mar 26, 2017",9.793
"Mar 30, 2017",10.793
"Apr 3, 2017",10.793
"Apr 7, 2017",6.037
"Apr 11, 2017",10
"Apr 15, 2017",9.622
"Apr 19, 2017",8.793
"Apr 23, 2017",5.415
"Apr 27, 2017",9
"May 1, 2017",8.207
"May 5, 2017",6.622
"May 9, 2017",8.793
"May 13, 2017",9.793
"May 17, 2017",7
"May 21, 2017",5.207
"May 25, 2017",7.622
"May 29, 2017",9.793
"Jun 2, 2017",7.622
"Jun 6, 2017",9
"Jun 10, 2017",3.622
"Jun 14, 2017",1
"Jun 18, 2017",6.622
"Jun 22, 2017",0
"Jun 26, 2017",1
"Jun 30, 2017",8.415
"Jul 4, 2017",5.793
"Jul 8, 2017",6.793
"Jul 12, 2017",5.622
"Jul 16, 2017",6
"Jul 20, 2017",7
