system:time_start,LST_Day_1km
"Jan 1, 2014",
"Jan 2, 2014",
"Jan 3, 2014",
"Jan 4, 2014","14,903"
"Jan 5, 2014","15,185"
"Jan 6, 2014","15,343"
"Jan 7, 2014",
"Jan 8, 2014","15,156"
"Jan 9, 2014",
"Jan 10, 2014","14,975"
"Jan 11, 2014","14,964"
"Jan 12, 2014","15,126"
"Jan 13, 2014","15,066"
"Jan 14, 2014","15,164"
"Jan 15, 2014","15,286"
"Jan 16, 2014","15,190"
"Jan 17, 2014",
"Jan 18, 2014",
"Jan 19, 2014","14,733"
"Jan 20, 2014","15,277"
"Jan 21, 2014",
"Jan 22, 2014","15,250"
"Jan 23, 2014",
"Jan 24, 2014",
"Jan 25, 2014","14,923"
"Jan 26, 2014","14,899"
"Jan 27, 2014","15,131"
"Jan 28, 2014",
"Jan 29, 2014",
"Jan 30, 2014",
"Jan 31, 2014","15,151"
"Feb 1, 2014",
"Feb 2, 2014",
"Feb 3, 2014",
"Feb 4, 2014","15,015"
"Feb 5, 2014",
"Feb 6, 2014",
"Feb 7, 2014",
"Feb 8, 2014","15,149"
"Feb 9, 2014","14,967"
"Feb 10, 2014","15,083"
"Feb 11, 2014",
"Feb 12, 2014",
"Feb 13, 2014",
"Feb 14, 2014","14,717"
"Feb 15, 2014",
"Feb 16, 2014",
"Feb 17, 2014",
"Feb 18, 2014",
"Feb 19, 2014",
"Feb 20, 2014",
"Feb 21, 2014",
"Feb 22, 2014","14,840"
"Feb 23, 2014","14,962"
"Feb 24, 2014",
"Feb 25, 2014",
"Feb 26, 2014",
"Feb 27, 2014",
"Feb 28, 2014",
"Mar 1, 2014",
"Mar 2, 2014","14,911"
"Mar 3, 2014",
"Mar 4, 2014",
"Mar 5, 2014",
"Mar 6, 2014",
"Mar 7, 2014","14,746"
"Mar 8, 2014","14,591"
"Mar 9, 2014",
"Mar 10, 2014","14,732"
"Mar 11, 2014","14,680"
"Mar 12, 2014","14,992"
"Mar 13, 2014","14,893"
"Mar 14, 2014",
"Mar 15, 2014","14,595"
"Mar 16, 2014",
"Mar 17, 2014","14,629"
"Mar 18, 2014","14,599"
"Mar 19, 2014",
"Mar 20, 2014","14,651"
"Mar 21, 2014",
"Mar 22, 2014","14,475"
"Mar 23, 2014","14,641"
"Mar 24, 2014","14,462"
"Mar 25, 2014","14,711"
"Mar 26, 2014",
"Mar 27, 2014",
"Mar 28, 2014",
"Mar 29, 2014","14,843"
"Mar 30, 2014",
"Mar 31, 2014","14,565"
"Apr 1, 2014",
"Apr 2, 2014",
"Apr 3, 2014",
"Apr 4, 2014",
"Apr 5, 2014",
"Apr 6, 2014",
"Apr 7, 2014",
"Apr 8, 2014",
"Apr 9, 2014",
"Apr 10, 2014",
"Apr 11, 2014","14,627"
"Apr 12, 2014","14,224"
"Apr 13, 2014",
"Apr 14, 2014",
"Apr 15, 2014","14,277"
"Apr 16, 2014",
"Apr 17, 2014",
"Apr 18, 2014","14,485"
"Apr 19, 2014","14,474"
"Apr 20, 2014","14,486"
"Apr 21, 2014","14,464"
"Apr 22, 2014","14,368"
"Apr 23, 2014","14,451"
"Apr 24, 2014","14,410"
"Apr 25, 2014",
"Apr 26, 2014","14,413"
"Apr 27, 2014","14,511"
"Apr 28, 2014",
"Apr 29, 2014",
"Apr 30, 2014",
"May 1, 2014","14,544"
"May 2, 2014",
"May 3, 2014",
"May 4, 2014",
"May 5, 2014",
"May 6, 2014","14,507"
"May 7, 2014",
"May 8, 2014",
"May 9, 2014",
"May 10, 2014",
"May 11, 2014",
"May 12, 2014","14,480"
"May 13, 2014","14,343"
"May 14, 2014",
"May 15, 2014","14,207"
"May 16, 2014","14,249"
"May 17, 2014","14,250"
"May 18, 2014",
"May 19, 2014","14,277"
"May 20, 2014",
"May 21, 2014",
"May 22, 2014",
"May 23, 2014","14,174"
"May 24, 2014","14,208"
"May 25, 2014","14,134"
"May 26, 2014","14,247"
"May 27, 2014","14,236"
"May 28, 2014",
"May 29, 2014",
"May 30, 2014",
"May 31, 2014",
"Jun 1, 2014",
"Jun 2, 2014",
"Jun 3, 2014","14,190"
"Jun 4, 2014",
"Jun 5, 2014","14,301"
"Jun 6, 2014","14,126"
"Jun 7, 2014",
"Jun 8, 2014","13,993"
"Jun 9, 2014","14,148"
"Jun 10, 2014",
"Jun 11, 2014",
"Jun 12, 2014",
"Jun 13, 2014","14,204"
"Jun 14, 2014","14,148"
"Jun 15, 2014",
"Jun 16, 2014","14,219"
"Jun 17, 2014",
"Jun 18, 2014","14,098"
"Jun 19, 2014","13,890"
"Jun 20, 2014","14,106"
"Jun 21, 2014",
"Jun 22, 2014",
"Jun 23, 2014",
"Jun 24, 2014","13,979"
"Jun 25, 2014","14,188"
"Jun 26, 2014","14,034"
"Jun 27, 2014","14,095"
"Jun 28, 2014","14,218"
"Jun 29, 2014","14,081"
"Jun 30, 2014","14,193"
"Jul 1, 2014","13,987"
"Jul 2, 2014",
"Jul 3, 2014","14,067"
"Jul 4, 2014",
"Jul 5, 2014",
"Jul 6, 2014",
"Jul 7, 2014",
"Jul 8, 2014","14,015"
"Jul 9, 2014",
"Jul 10, 2014",
"Jul 11, 2014",
"Jul 12, 2014",
"Jul 13, 2014",
"Jul 14, 2014",
"Jul 15, 2014",
"Jul 16, 2014",
"Jul 17, 2014","14,142"
"Jul 18, 2014",
"Jul 19, 2014","14,190"
"Jul 20, 2014","14,294"
"Jul 21, 2014",
"Jul 22, 2014",
"Jul 23, 2014","14,193"
"Jul 24, 2014","14,079"
"Jul 25, 2014","14,081"
"Jul 26, 2014","13,957"
"Jul 27, 2014","13,996"
"Jul 28, 2014",
"Jul 29, 2014",
"Jul 30, 2014",
"Jul 31, 2014",
"Aug 1, 2014","14,397"
"Aug 2, 2014",
"Aug 3, 2014","14,405"
"Aug 4, 2014","14,168"
"Aug 5, 2014",
"Aug 6, 2014",
"Aug 7, 2014","14,245"
"Aug 8, 2014","14,372"
"Aug 9, 2014","14,237"
"Aug 10, 2014",
"Aug 11, 2014","14,119"
"Aug 12, 2014","14,183"
"Aug 13, 2014","14,017"
"Aug 14, 2014","14,189"
"Aug 15, 2014","14,352"
"Aug 16, 2014","14,202"
"Aug 17, 2014","14,493"
"Aug 18, 2014","14,572"
"Aug 19, 2014","14,420"
"Aug 20, 2014",
"Aug 21, 2014",
"Aug 22, 2014",
"Aug 23, 2014",
"Aug 24, 2014",
"Aug 25, 2014",
"Aug 26, 2014",
"Aug 27, 2014",
"Aug 28, 2014","14,233"
"Aug 29, 2014",
"Aug 30, 2014",
"Aug 31, 2014",
"Sep 1, 2014",
"Sep 2, 2014",
"Sep 3, 2014",
"Sep 4, 2014",
"Sep 5, 2014",
"Sep 6, 2014",
"Sep 7, 2014","14,167"
"Sep 8, 2014","14,248"
"Sep 9, 2014",
"Sep 10, 2014","14,337"
"Sep 11, 2014","14,435"
"Sep 12, 2014","14,410"
"Sep 13, 2014","14,079"
"Sep 14, 2014",
"Sep 15, 2014","14,420"
"Sep 16, 2014","14,534"
"Sep 17, 2014","14,515"
"Sep 18, 2014","14,650"
"Sep 19, 2014","14,553"
"Sep 20, 2014",
"Sep 21, 2014",
"Sep 22, 2014","14,325"
"Sep 23, 2014",
"Sep 24, 2014","14,456"
"Sep 25, 2014",
"Sep 26, 2014","14,388"
"Sep 27, 2014","14,340"
"Sep 28, 2014",
"Sep 29, 2014","14,568"
"Sep 30, 2014",
"Oct 1, 2014","14,421"
"Oct 2, 2014",
"Oct 3, 2014",
"Oct 4, 2014",
"Oct 5, 2014",
"Oct 6, 2014",
"Oct 7, 2014",
"Oct 8, 2014",
"Oct 9, 2014",
"Oct 10, 2014","14,493"
"Oct 11, 2014","14,556"
"Oct 12, 2014","14,610"
"Oct 13, 2014",
"Oct 14, 2014","14,742"
"Oct 15, 2014",
"Oct 16, 2014","14,847"
"Oct 17, 2014",
"Oct 18, 2014",
"Oct 19, 2014","14,699"
"Oct 20, 2014","14,769"
"Oct 21, 2014",
"Oct 22, 2014","15,012"
"Oct 23, 2014","14,725"
"Oct 24, 2014",
"Oct 25, 2014","14,866"
"Oct 26, 2014",
"Oct 27, 2014",
"Oct 28, 2014",
"Oct 29, 2014",
"Oct 30, 2014","14,496"
"Oct 31, 2014",
"Nov 1, 2014",
"Nov 2, 2014",
"Nov 3, 2014",
"Nov 4, 2014",
"Nov 5, 2014","14,624"
"Nov 6, 2014","14,869"
"Nov 7, 2014","14,620"
"Nov 8, 2014","14,753"
"Nov 9, 2014","14,901"
"Nov 10, 2014",
"Nov 11, 2014",
"Nov 12, 2014","14,662"
"Nov 13, 2014","14,852"
"Nov 14, 2014","14,672"
"Nov 15, 2014","15,199"
"Nov 16, 2014","15,001"
"Nov 17, 2014","14,988"
"Nov 18, 2014","15,105"
"Nov 19, 2014",
"Nov 20, 2014","14,833"
"Nov 21, 2014",
"Nov 22, 2014","14,900"
"Nov 23, 2014","15,095"
"Nov 24, 2014",
"Nov 25, 2014","15,018"
"Nov 26, 2014","14,949"
"Nov 27, 2014","15,141"
"Nov 28, 2014","15,122"
"Nov 29, 2014",
"Nov 30, 2014",
"Dec 1, 2014",
"Dec 2, 2014","14,674"
"Dec 3, 2014","15,111"
"Dec 4, 2014","15,046"
"Dec 5, 2014","15,230"
"Dec 6, 2014","15,214"
"Dec 7, 2014",
"Dec 8, 2014","14,895"
"Dec 9, 2014","15,244"
"Dec 10, 2014","14,711"
"Dec 11, 2014","15,004"
"Dec 12, 2014","14,985"
"Dec 13, 2014","14,933"
"Dec 14, 2014","15,089"
"Dec 15, 2014","15,022"
"Dec 16, 2014",
"Dec 17, 2014","14,866"
"Dec 18, 2014","15,185"
"Dec 19, 2014","15,088"
"Dec 20, 2014",
"Dec 21, 2014","14,834"
"Dec 22, 2014",
"Dec 23, 2014","14,999"
"Dec 24, 2014","15,030"
"Dec 25, 2014","15,285"
"Dec 26, 2014","15,043"
"Dec 27, 2014","15,336"
"Dec 28, 2014","15,265"
"Dec 29, 2014","15,261"
"Dec 30, 2014","15,105"
"Dec 31, 2014",
"Jan 1, 2015",
"Jan 2, 2015",
"Jan 3, 2015",
"Jan 4, 2015","14,858"
"Jan 5, 2015","15,028"
"Jan 6, 2015",
"Jan 7, 2015","15,141"
"Jan 8, 2015",
"Jan 9, 2015",
"Jan 10, 2015","15,111"
"Jan 11, 2015","15,004"
"Jan 12, 2015","15,109"
"Jan 13, 2015",
"Jan 14, 2015","15,093"
"Jan 15, 2015","14,998"
"Jan 16, 2015","15,083"
"Jan 17, 2015",
"Jan 18, 2015","14,858"
"Jan 19, 2015",
"Jan 20, 2015","14,768"
"Jan 21, 2015","15,049"
"Jan 22, 2015",
"Jan 23, 2015","15,050"
"Jan 24, 2015","15,100"
"Jan 25, 2015",
"Jan 26, 2015",
"Jan 27, 2015","14,571"
