system:time_start,LST_Night_1km
"Jan 1, 2014","14,499"
"Jan 2, 2014",
"Jan 3, 2014","14,188"
"Jan 4, 2014","14,153"
"Jan 5, 2014","14,248"
"Jan 6, 2014","14,477"
"Jan 7, 2014",
"Jan 8, 2014","14,475"
"Jan 9, 2014","14,489"
"Jan 10, 2014","14,591"
"Jan 11, 2014","14,484"
"Jan 12, 2014","14,092"
"Jan 13, 2014","14,407"
"Jan 14, 2014","14,454"
"Jan 15, 2014","14,690"
"Jan 16, 2014",
"Jan 17, 2014","14,621"
"Jan 18, 2014",
"Jan 19, 2014",
"Jan 20, 2014","14,511"
"Jan 21, 2014",
"Jan 22, 2014","14,564"
"Jan 23, 2014",
"Jan 24, 2014",
"Jan 25, 2014","14,227"
"Jan 26, 2014","14,340"
"Jan 27, 2014","14,580"
"Jan 28, 2014",
"Jan 29, 2014","14,527"
"Jan 30, 2014","14,655"
"Jan 31, 2014",
"Feb 1, 2014","14,540"
"Feb 2, 2014",
"Feb 3, 2014","14,612"
"Feb 4, 2014","14,512"
"Feb 5, 2014","14,686"
"Feb 6, 2014",
"Feb 7, 2014","14,611"
"Feb 8, 2014","14,399"
"Feb 9, 2014","14,476"
"Feb 10, 2014","14,455"
"Feb 11, 2014","14,599"
"Feb 12, 2014","14,585"
"Feb 13, 2014","14,388"
"Feb 14, 2014","14,436"
"Feb 15, 2014",
"Feb 16, 2014",
"Feb 17, 2014",
"Feb 18, 2014",
"Feb 19, 2014",
"Feb 20, 2014",
"Feb 21, 2014","14,629"
"Feb 22, 2014",
"Feb 23, 2014","14,499"
"Feb 24, 2014","14,473"
"Feb 25, 2014",
"Feb 26, 2014","14,310"
"Feb 27, 2014","14,023"
"Feb 28, 2014","14,383"
"Mar 1, 2014","14,304"
"Mar 2, 2014","14,437"
"Mar 3, 2014","14,389"
"Mar 4, 2014",
"Mar 5, 2014",
"Mar 6, 2014",
"Mar 7, 2014","14,322"
"Mar 8, 2014","14,442"
"Mar 9, 2014",
